RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACCESS,ACR,AGS,BATH,BDSP,BLD,BROADBND,BUS,COMPOTHX,CONP,DIALUP,DSL,ELEP,FIBEROP,FS,FULP,GASP,HANDHELD,HFL,INSP,LAPTOP,MHP,MODEM,MRGI,MRGP,MRGT,MRGX,OTHSVCEX,REFR,RMSP,RNTM,RNTP,RWAT,RWATPR,SATELLITE,SINK,SMP,STOV,TEL,TEN,TOIL,VACS,VALP,VEH,WATP,YBL,FES,FFINCP,FGRNTP,FHINCP,FINCP,FPARC,FSMOCP,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MULTG,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SSMC,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACCESSP,FACRP,FAGSP,FBATHP,FBDSP,FBLDP,FBROADBNDP,FBUSP,FCOMPOTHXP,FCONP,FDIALUPP,FDSLP,FELEP,FFIBEROPP,FFSP,FFULP,FGASP,FHANDHELDP,FHFLP,FINSP,FKITP,FLAPTOPP,FMHP,FMODEMP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FOTHSVCEXP,FPLMP,FREFRP,FRMSP,FRNTMP,FRNTP,FRWATP,FRWATPRP,FSATELLITEP,FSINKP,FSMP,FSMXHP,FSMXSP,FSTOVP,FTAXP,FTELP,FTENP,FTOILP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80
H,84,6,02600,3,01,1000000,1007549,00000,01,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
H,154,6,02500,3,01,1000000,1007549,00051,04,1,1,1,,1,03,02,2,2,2,,2,2,350,1,2,0002,003,2,3,0350,1,,2,,,,3,2,1,09,,,1,9,2,1,,1,1,2,1,,0025000,3,0480,2,1,1,,1,000151000,4,0,,,1,1,000151000,0,4,4,4,1,1,1,6,00,04,0,0,00,003,0,1,0,0,0,0,2,00426,,0,0,1,03,2,01,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00045,00052,00053,00050,00100,00079,00078,00050,00019,00057,00089,00046,00067,00109,00051,00018,00017,00018,00047,00087,00049,00050,00049,00064,00013,00016,00016,00055,00086,00048,00014,00049,00050,00011,00056,00083,00071,00108,00054,00081,00043,00053,00050,00063,00017,00015,00015,00047,00088,00047,00014,00052,00051,00020,00053,00084,00078,00074,00053,00015,00054,00055,00058,00065,00110,00082,00089,00050,00012,00055,00086,00053,00059,00084,00049,00015,00015,00020,00050,00016
H,156,6,01700,3,01,1000000,1007549,00449,01,1,3,1,,1,03,02,,2,2,,,,300,,2,0002,003,2,3,0980,1,,,1,00550,2,1,,1,06,,,1,9,,1,,1,1,1,1,,0080000,1,0700,5,,0,,1,,,1,,,1,6,000039930,0,4,4,4,1,1,1,7,00,,0,0,00,028,0,1,0,0,1,0,2,00926,3,0,0,1,06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,00481,00576,00807,00739,00154,00173,00722,00455,00157,00671,00681,00470,00403,00118,00339,00436,00443,00393,00160,00411,00468,00387,00127,00150,00553,00514,00133,00613,00562,00151,00196,00432,00577,00710,00378,00481,00504,00531,00760,00409,00560,00404,00637,00516,00101,00150,00659,00454,00179,00793,00724,00451,00527,00168,00355,00445,00465,00426,00228,00575,00386,00433,00167,00230,00797,00572,00155,00556,00596,00170,00161,00530,00601,00579,00341,00378,00387,00421,00621,00486
H,160,6,02200,3,01,1000000,1007549,00016,03,1,3,3,1,1,04,02,,2,2,,,,220,,1,0002,020,1,3,,2,,,,,,,,1,06,2,00100,1,9,,1,,1,1,3,1,,,2,0360,6,8,1,0,1,000011400,2,,0370,039,1,3,000011400,1,2,4,2,1,1,1,4,00,03,1,0,01,,0,1,0,1,1,0,2,,,0,0,0,,1,15,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00021,00014,00006,00020,00030,00016,00005,00025,00004,00027,00011,00028,00014,00015,00027,00040,00031,00004,00016,00020,00009,00026,00039,00032,00038,00009,00015,00006,00019,00022,00005,00016,00003,00027,00021,00033,00014,00011,00006,00031,00010,00021,00022,00011,00008,00022,00027,00016,00030,00006,00028,00009,00017,00012,00023,00003,00004,00038,00015,00017,00033,00008,00010,00007,00007,00021,00022,00019,00012,00011,00031,00024,00033,00007,00007,00013,00018,00023,00023,00005
H,231,6,02400,3,01,1000000,1007549,00052,01,1,3,,,1,01,05,,,2,,,,060,,1,0001,003,2,1,,2,,,,,,,,1,03,2,00080,1,9,,1,,1,1,3,1,,,0,0001,5,,0,0,0,,,,0140,043,1,6,000003900,0,4,4,4,1,1,1,6,00,,0,0,00,,0,1,0,0,1,1,1,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00074,00050,00043,00013,00012,00102,00080,00020,00060,00098,00017,00018,00052,00045,00095,00057,00046,00075,00047,00054,00016,00043,00057,00122,00093,00017,00013,00061,00059,00023,00082,00069,00050,00055,00020,00059,00062,00044,00038,00040,00016,00047,00040,00107,00088,00016,00014,00086,00059,00016,00092,00113,00061,00064,00014,00074,00048,00043,00053,00050,00083,00047,00051,00015,00016,00093,00095,00015,00047,00106,00021,00018,00037,00049,00103,00038,00049,00051,00046,00047
H,286,6,00900,3,01,1000000,1007549,00076,01,1,1,1,,1,04,02,2,2,2,,2,2,100,2,2,0002,090,2,1,0050,2,,1,2,00290,2,1,2,1,09,,,1,9,2,1,,1,1,1,1,,0018000,1,0370,2,,0,,1,,,1,,,1,6,000005400,0,4,4,4,1,1,1,7,00,,0,0,00,101,0,1,0,0,1,1,1,00522,3,0,0,1,03,,,,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,00084,00069,00019,00118,00091,00077,00020,00076,00073,00180,00068,00078,00024,00131,00136,00073,00143,00082,00026,00067,00021,00027,00063,00074,00024,00119,00087,00126,00131,00067,00130,00030,00079,00081,00070,00019,00094,00119,00065,00023,00084,00083,00023,00111,00070,00073,00022,00086,00069,00123,00091,00075,00028,00138,00098,00069,00121,00087,00023,00067,00018,00024,00077,00062,00028,00125,00072,00121,00135,00100,00128,00025,00068,00066,00080,00026,00066,00164,00088,00024
H,312,6,00700,3,01,1000000,1007549,00046,02,1,1,1,,1,05,02,1,2,1,,2,1,240,2,2,0002,003,1,3,2200,1,,2,1,01200,1,1,2,1,17,,,1,9,2,1,,1,1,1,1,,0390000,3,0050,8,1,0,,0,000136000,4,0,,,1,1,000136000,0,4,4,4,1,1,1,4,00,02,0,0,00,013,0,1,0,0,0,0,1,01444,3,0,0,1,26,2,01,01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,00084,00058,00016,00079,00012,00043,00049,00050,00052,00037,00043,00063,00014,00048,00048,00013,00012,00043,00067,00041,00051,00013,00045,00054,00044,00011,00080,00092,00082,00086,00013,00048,00052,00087,00014,00045,00051,00015,00045,00082,00065,00045,00010,00085,00014,00042,00042,00054,00054,00042,00042,00099,00014,00049,00046,00013,00014,00042,00084,00048,00046,00013,00043,00042,00046,00012,00068,00084,00103,00085,00013,00057,00040,00075,00013,00042,00047,00013,00060,00075
H,316,6,02200,3,01,1000000,1007549,00036,02,1,1,2,1,1,03,02,2,2,2,,2,2,130,2,2,0002,040,1,3,1700,1,,2,,,,3,2,1,05,,,1,9,1,1,,1,1,2,1,,0120000,0,0250,2,4,0,,0,000052600,4,0,,,1,1,000052600,0,4,4,4,1,1,1,7,00,02,0,0,00,008,0,1,0,0,2,2,3,00346,,0,0,1,05,0,09,09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00010,00013,00033,00064,00015,00086,00034,00032,00045,00041,00037,00038,00010,00058,00032,00030,00066,00073,00032,00038,00031,00032,00050,00026,00037,00040,00067,00013,00009,00012,00011,00060,00035,00035,00010,00055,00033,00041,00076,00012,00009,00009,00037,00054,00011,00081,00048,00041,00035,00031,00031,00031,00010,00059,00042,00036,00061,00066,00034,00034,00045,00048,00061,00040,00034,00030,00052,00015,00012,00010,00008,00059,00040,00036,00010,00062,00046,00041,00052,00010
H,335,6,01700,3,01,1000000,1007549,00128,01,1,1,,,1,01,05,2,,2,,2,2,130,2,2,0002,003,2,3,,1,,1,,,,,2,1,02,2,00340,1,9,2,1,,1,1,3,1,,,1,0360,10,,0,1,0,,,,0500,006,1,6,000103000,0,4,4,4,1,1,1,3,00,,0,0,00,,0,1,0,0,1,1,1,,,1,0,0,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,00116,00310,00252,00201,00145,00129,00134,00106,00084,00041,00033,00043,00130,00224,00159,00039,00138,00127,00039,00190,00169,00207,00290,00190,00099,00143,00141,00131,00140,00040,00035,00037,00106,00193,00118,00042,00159,00106,00049,00142,00152,00298,00262,00207,00170,00106,00100,00113,00100,00038,00035,00050,00157,00203,00149,00037,00141,00136,00033,00257,00113,00180,00182,00185,00104,00154,00187,00217,00131,00035,00047,00034,00168,00232,00097,00032,00105,00146,00037,00161
H,447,6,02400,3,01,1000000,1007549,00138,02,1,1,2,1,1,03,02,2,2,2,,1,2,080,2,2,0002,280,1,2,1200,1,,2,2,00360,2,1,2,1,08,,,1,9,1,1,,1,1,1,1,,0160000,6,0050,4,1,1,,1,000081600,4,1,,,1,1,000081600,0,4,4,4,1,1,1,7,00,02,0,0,00,013,0,1,0,0,1,1,2,00857,3,0,0,1,10,2,04,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00060,00163,00142,00192,00128,00145,00128,00127,00158,00120,00133,00037,00048,00255,00264,00036,00114,00172,00034,00121,00194,00136,00205,00052,00171,00159,00104,00148,00059,00201,00126,00165,00195,00053,00041,00176,00122,00073,00234,00148,00042,00167,00139,00213,00111,00147,00158,00131,00175,00126,00135,00039,00051,00240,00213,00051,00138,00218,00033,00123,00228,00144,00126,00043,00164,00127,00111,00123,00046,00149,00149,00193,00192,00041,00042,00199,00200,00058,00248,00136
H,557,6,02702,3,01,1000000,1007549,00000,01,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
H,588,6,02702,3,01,1000000,1007549,00100,02,1,3,1,,1,02,02,,2,2,,,,090,,2,0002,003,2,3,,2,,,,,,,,1,04,1,01400,1,9,,1,,1,1,3,1,,,1,0360,7,4,0,0,0,000026300,4,,1520,069,1,1,000026300,0,4,4,4,1,1,1,3,00,02,0,0,00,,0,1,0,0,2,2,2,,,1,0,0,,0,09,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00099,00120,00103,00179,00092,00098,00031,00162,00032,00026,00111,00114,00160,00176,00033,00104,00096,00094,00027,00114,00031,00028,00030,00084,00167,00030,00084,00112,00099,00103,00195,00177,00095,00125,00102,00151,00031,00197,00090,00031,00098,00113,00102,00029,00095,00092,00166,00030,00168,00167,00094,00096,00030,00032,00151,00111,00115,00101,00181,00108,00163,00160,00181,00103,00032,00156,00112,00101,00106,00101,00029,00029,00084,00105,00109,00030,00179,00032,00100,00183
H,709,6,02300,3,01,1000000,1007549,00025,01,1,3,2,1,1,03,02,,2,2,,,,100,,1,0002,030,2,2,,2,,,,,,,,1,05,,,1,9,,1,,1,1,4,1,,,0,0010,4,,0,,0,,,,,,1,6,000007700,0,4,4,4,1,1,1,7,00,,0,0,00,,0,1,0,0,1,1,1,,,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00007,00022,00028,00017,00044,00026,00021,00006,00028,00006,00015,00024,00028,00041,00050,00006,00026,00030,00018,00049,00006,00043,00023,00031,00032,00023,00020,00006,00039,00006,00008,00028,00038,00030,00042,00011,00032,00037,00019,00006,00038,00022,00044,00016,00006,00033,00033,00035,00005,00026,00065,00027,00025,00010,00011,00047,00028,00021,00017,00007,00029,00031,00029,00026,00006,00022,00023,00022,00007,00039,00031,00022,00025,00007,00005,00037,00081,00054,00024,00032
